,id,name,symbol,slug,token_address,tags
0,35336,OFFICIAL TRUMP,TRUMP,official-trump,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,"memes,solana-ecosystem,political-memes,celebrity-memes,made-in-america,moonshot"
1,29210,Jupiter,JUP,jupiter-ag,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,"decentralized-exchange-dex-token,defi,derivatives,amm,solana-ecosystem,cross-chain,moonshot"
2,33597,Fartcoin,FARTCOIN,fartcoin,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,"ai-big-data,memes,solana-ecosystem,ai-memes,pump-fun-ecosystem,terminal-of-truths,binance-alpha"
3,28752,dogwifhat,WIF,dogwifhat,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,"memes,solana-ecosystem,doggone-doggerel,animal-memes,cmc-crypto-yearbook-2024-2025"
4,8526,Raydium,RAY,raydium,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,"decentralized-exchange-dex-token,defi,amm,dex,solana-ecosystem,petrock-capital-portfolio"
5,34466,Pudgy Penguins,PENGU,pudgy-penguins,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,"collectibles-nfts,memes,solana-ecosystem,animal-memes,ip-memes,made-in-america,binance-hodler-airdrops"
6,28541,Jito,JTO,jito,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,"defi,staking,dao,solana-ecosystem,liquid-staking-derivatives,cmc-crypto-yearbook-2024-2025"
7,28177,Pyth Network,PYTH,pyth-network,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,"oracles,solana-ecosystem,cross-chain,cmc-crypto-yearbook-2024-2025"
8,28782,Popcat (SOL),POPCAT,popcat-sol,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,"memes,solana-ecosystem,cat-themed,animal-memes,binance-alpha,cmc-crypto-yearbook-2024-2025,moonshot"
9,35837,would,WOULD,wouldmeme,J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,"memes,solana-ecosystem,pump-fun-ecosystem"
10,32956,Grass,GRASS,grass,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,"ai-big-data,solana-ecosystem,depin,binance-alpha"
11,33788,Peanut the Squirrel,PNUT,peanut-the-squirrel,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,"memes,solana-ecosystem,political-memes,animal-memes,pump-fun-ecosystem"
12,34026,ai16z,AI16Z,ai16z,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,"ai-big-data,memes,solana-ecosystem,ai-memes,ai-agents,binance-alpha,made-in-america"
13,30126,cat in a dogs world,MEW,mew,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,"memes,solana-ecosystem,doggone-doggerel,cat-themed,animal-memes,ip-memes,binance-alpha,cmc-crypto-yearbook-2024-2025,moonshot"
14,10407,Baby Doge Coin,BabyDoge,baby-doge-coin,7dUKUopcNWW6CcU4eRxCHh1uiMh32zDrmGf6ufqhxann,"marketing,art,marketplace,media,philanthropy,real-estate,services,ai-big-data,collectibles-nfts,loyalty,content-creation,decentralized-exchange-dex-token,defi,gaming,entertainment,memes,payments,ethereum-ecosystem,launchpad,solana-ecosystem,doggone-doggerel,web3,cross-chain,bnb-chain-ecosystem,generative-ai,real-world-assets,base-ecosystem,toncoin-ecosystem,tap-to-earn,animal-memes,made-in-america"
15,33093,Moo Deng (moodengsol.com),MOODENG,moo-deng-solana,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,"memes,solana-ecosystem,animal-memes,pump-fun-ecosystem"
16,30063,Gigachad,GIGA,gigachad-meme,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,"memes,solana-ecosystem"
17,35429,Solayer,LAYER,solayer,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,"defi,polychain-capital-portfolio,binance-labs-portfolio,solana-ecosystem,restaking,binance-hodler-airdrops"
18,35347,Official Melania Meme,MELANIA,melania-meme,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,"memes,solana-ecosystem,celebrity-memes,made-in-america"
19,33440,Goatseus Maximus,GOAT,goatseus-maximus,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,"ai-big-data,memes,solana-ecosystem,ai-memes,pump-fun-ecosystem,terminal-of-truths,binance-alpha"
20,31278,Drift,DRIFT,drift,DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,"decentralized-exchange-dex-token,derivatives,polychain-capital-portfolio,governance,solana-ecosystem,multicoin-capital-portfolio,jump-crypto,binance-alpha"
21,29082,Saros,SAROS,saros,SarosY6Vscao718M4A778z4CGtvcwcGef5M9MEH1LGL,"dex,solana-ecosystem"
22,11165,Orca,ORCA,orca,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,"decentralized-exchange-dex-token,amm,dex,three-arrows-capital-portfolio,solana-ecosystem"
23,32197,Magic Eden,ME,magiceden,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,"marketplace,collectibles-nfts,wallet,dapp,solana-ecosystem,bitcoin-ecosystem,runes"
24,34792,GRIFFAIN,GRIFFAIN,griffain,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,"ai-big-data,solana-ecosystem,ai-agents,binance-alpha,ai-agent-launchpad,defai"
25,34880,Alchemist AI,ALCH,alchemist-ai,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,"solana-ecosystem,desci,pump-fun-ecosystem,binance-alpha"
26,22850,Hivemapper,HONEY,hivemapper,4vMsoUT2BWatFweudnQM1xedRLfJgJ7hswhcpz4xgBTy,"distributed-computing,iot,solana-ecosystem,depin,made-in-america"
